Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_seconds,pirelliCompound,Year,LapTime_prev,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TempDelta,laps_diff,TrackTemp_RBF_Median,Humidity_RBF_Median,Pressure_RBF_Median,WindSpeed_RBF_Median,WindDirection_RBF_Median,TempDelta_RBF_Median
0 days 01:57:31.346000,HAM,44,0 days 00:01:41.844000,32.0,2.0,,,0 days 00:00:27.359000,0 days 00:00:41.301000,0 days 00:00:33.184000,0 days 01:56:16.891000,0 days 01:56:58.192000,0 days 01:57:31.376000,218.0,184.0,201.0,277.0,False,HARD,12.0,True,Mercedes,0 days 01:55:49.502000,2023-10-22 19:56:51.735,1,3.0,False,,False,True,101.844,C2,2023,101.31,30.4,37.0,993.0,False,41.0,124.0,4.1,10.600000000000001,0.5339999999999918,0.14427991674278828,0.9048374180359595,0.0036065631360157305,0.7362025458114003,0.0003035391380788668,0.03459659542089192
0 days 01:57:32.302000,OCO,31,0 days 00:01:40.077000,34.0,2.0,,,0 days 00:00:26.888000,0 days 00:00:40.145000,0 days 00:00:33.044000,0 days 01:56:19.165000,0 days 01:56:59.310000,0 days 01:57:32.354000,220.0,180.0,203.0,300.0,True,HARD,3.0,True,Alpine,0 days 01:55:52.225000,2024-10-20 20:02:29.823,1,16.0,False,,False,True,100.077,C2,2024,100.214,28.8,33.0,1005.8,False,47.1,286.0,1.8,18.3,-0.13700000000000045,0.7490122054026687,0.4065696597405991,0.0602652274973017,0.970202952489017,0.0,0.6969789984668731
0 days 01:57:32.519000,HAM,44,0 days 00:01:41.523000,28.0,2.0,,,0 days 00:00:27.305000,0 days 00:00:41.035000,0 days 00:00:33.183000,0 days 01:56:18.328000,0 days 01:56:59.363000,0 days 01:57:32.546000,216.0,180.0,200.0,291.0,True,HARD,16.0,True,Mercedes,0 days 01:55:50.996000,2022-10-23 19:56:51.007,1,2.0,False,,False,True,101.523,C2,2022,101.842,29.6,49.0,990.5,False,35.9,111.0,5.8,6.299999999999997,-0.3190000000000026,0.00012036280516721316,4.5753387694457955e-08,4.5399929762484854e-05,0.3041452182568096,9.553160535512378e-22,3.7133166944408e-05
0 days 01:57:33.829000,PER,11,0 days 00:01:41.677000,28.0,2.0,,,0 days 00:00:27.395000,0 days 00:00:40.887000,0 days 00:00:33.395000,0 days 01:56:19.569000,0 days 01:57:00.456000,0 days 01:57:33.851000,203.0,179.0,201.0,300.0,True,HARD,14.0,True,Red Bull Racing,0 days 01:55:52.152000,2022-10-23 19:56:52.163,1,3.0,False,,False,True,101.677,C2,2022,101.809,29.6,49.0,990.5,False,35.9,111.0,5.8,6.299999999999997,-0.1319999999999908,0.00012036280516721316,4.5753387694457955e-08,4.5399929762484854e-05,0.3041452182568096,9.553160535512378e-22,3.7133166944408e-05
0 days 01:57:34.595000,STR,18,0 days 00:01:40.404000,34.0,2.0,,,0 days 00:00:27.053000,0 days 00:00:40.221000,0 days 00:00:33.130000,0 days 01:56:21.298000,0 days 01:57:01.519000,0 days 01:57:34.649000,206.0,184.0,203.0,300.0,False,MEDIUM,7.0,True,Aston Martin,0 days 01:55:54.191000,2024-10-20 20:02:31.789,1,17.0,False,,False,True,100.404,C3,2024,100.414,28.8,33.0,1005.8,False,47.1,286.0,1.8,18.3,-0.010000000000005116,0.7490122054026687,0.4065696597405991,0.0602652274973017,0.970202952489017,0.0,0.6969789984668731
0 days 01:57:34.734000,LEC,16,0 days 00:01:41.568000,28.0,2.0,,,0 days 00:00:27.384000,0 days 00:00:40.606000,0 days 00:00:33.578000,0 days 01:56:20.565000,0 days 01:57:01.171000,0 days 01:57:34.749000,204.0,182.0,202.0,313.0,True,HARD,10.0,True,Ferrari,0 days 01:55:53.166000,2022-10-23 19:56:53.177,1,4.0,False,,False,True,101.568,C2,2022,102.067,29.6,49.0,990.5,False,35.9,111.0,5.8,6.299999999999997,-0.4989999999999952,0.00012036280516721316,4.5753387694457955e-08,4.5399929762484854e-05,0.3041452182568096,9.553160535512378e-22,3.7133166944408e-05
0 days 01:57:36.220000,RUS,63,0 days 00:01:41.924000,28.0,2.0,,,0 days 00:00:27.494000,0 days 00:00:41.019000,0 days 00:00:33.411000,0 days 01:56:21.806000,0 days 01:57:02.825000,0 days 01:57:36.236000,210.0,183.0,199.0,289.0,True,HARD,15.0,True,Mercedes,0 days 01:55:54.296000,2022-10-23 19:56:54.307,1,5.0,False,,False,True,101.924,C2,2022,102.239,29.6,49.0,990.5,False,35.9,111.0,5.8,6.299999999999997,-0.3149999999999977,0.00012036280516721316,4.5753387694457955e-08,4.5399929762484854e-05,0.3041452182568096,9.553160535512378e-22,3.7133166944408e-05
0 days 01:57:36.336000,SAI,55,0 days 00:01:41.550000,32.0,2.0,,,0 days 00:00:27.437000,0 days 00:00:40.888000,0 days 00:00:33.225000,0 days 01:56:22.235000,0 days 01:57:03.123000,0 days 01:57:36.348000,213.0,183.0,200.0,297.0,False,MEDIUM,15.0,True,Ferrari,0 days 01:55:54.786000,2023-10-22 19:56:57.019,1,4.0,False,,False,True,101.55,C3,2023,101.584,30.4,37.0,993.0,False,41.0,124.0,4.1,10.600000000000001,-0.034000000000006025,0.14427991674278828,0.9048374180359595,0.0036065631360157305,0.7362025458114003,0.0003035391380788668,0.03459659542089192
0 days 01:57:38.101000,VET,5,0 days 00:01:42.521000,28.0,2.0,,,0 days 00:00:27.866000,0 days 00:00:41.022000,0 days 00:00:33.633000,0 days 01:56:23.464000,0 days 01:57:04.486000,0 days 01:57:38.119000,207.0,180.0,200.0,292.0,True,MEDIUM,11.0,False,Aston Martin,0 days 01:55:55.580000,2022-10-23 19:56:55.591,1,6.0,False,,False,True,102.521,C3,2022,102.701,29.6,49.0,990.5,False,35.9,111.0,5.8,6.299999999999997,-0.1799999999999926,0.00012036280516721316,4.5753387694457955e-08,4.5399929762484854e-05,0.3041452182568096,9.553160535512378e-22,3.7133166944408e-05
0 days 01:57:38.248000,PER,11,0 days 00:01:41.804000,32.0,2.0,,,0 days 00:00:27.368000,0 days 00:00:41.071000,0 days 00:00:33.365000,0 days 01:56:23.824000,0 days 01:57:04.895000,0 days 01:57:38.260000,205.0,179.0,199.0,295.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:55:56.444000,2023-10-22 19:56:58.677,1,5.0,False,,False,True,101.804,C3,2023,101.378,30.4,37.0,993.0,False,41.0,124.0,4.1,10.600000000000001,0.42600000000000193,0.14427991674278828,0.9048374180359595,0.0036065631360157305,0.7362025458114003,0.0003035391380788668,0.03459659542089192
