Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_seconds,pirelliCompound,Year,LapTime_prev,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TempDelta,laps_diff,TrackTemp_RBF_Median,Humidity_RBF_Median,Pressure_RBF_Median,WindSpeed_RBF_Median,WindDirection_RBF_Median,TempDelta_RBF_Median
0 days 01:12:05.319000,ANT,12,0 days 00:01:24.571000,10.0,1.0,,,0 days 00:00:27.321000,0 days 00:00:29.201000,0 days 00:00:28.049000,0 days 01:11:08.119000,0 days 01:11:37.320000,0 days 01:12:05.369000,322.0,330.0,313.0,346.0,False,MEDIUM,10.0,True,Mercedes,0 days 01:10:40.748000,2025-09-07 13:16:25.661,1,10.0,False,,False,True,84.571,C4,2025,84.566,26.9,42.0,996.8,False,44.3,211.0,2.4,17.4,0.0049999999999954525,0.9521811296985054,0.4065696597405991,0.9753099120283326,0.9521811296985049,4.248354255291589e-18,0.3591554413294056
0 days 01:12:05.749000,BEA,87,0 days 00:01:24.534000,10.0,1.0,,,0 days 00:00:27.517000,0 days 00:00:28.930000,0 days 00:00:28.087000,0 days 01:11:08.776000,0 days 01:11:37.706000,0 days 01:12:05.793000,321.0,338.0,314.0,342.0,False,MEDIUM,10.0,True,Haas F1 Team,0 days 01:10:41.215000,2025-09-07 13:16:26.128,1,11.0,False,,False,True,84.534,C4,2025,84.52,26.9,42.0,996.8,False,44.3,211.0,2.4,17.4,0.014000000000010004,0.9521811296985054,0.4065696597405991,0.9753099120283326,0.9521811296985049,4.248354255291589e-18,0.3591554413294056
0 days 01:12:06.465000,SAI,55,0 days 00:01:24.483000,10.0,1.0,,,0 days 00:00:27.391000,0 days 00:00:28.918000,0 days 00:00:28.174000,0 days 01:11:09.435000,0 days 01:11:38.353000,0 days 01:12:06.527000,320.0,336.0,313.0,340.0,False,MEDIUM,10.0,True,Williams,0 days 01:10:41.982000,2025-09-07 13:16:26.895,1,12.0,False,,False,True,84.483,C4,2025,84.389,26.9,42.0,996.8,False,44.3,211.0,2.4,17.4,0.0940000000000083,0.9521811296985054,0.4065696597405991,0.9753099120283326,0.9521811296985049,4.248354255291589e-18,0.3591554413294056
0 days 01:12:07.120000,ALB,23,0 days 00:01:24.453000,10.0,1.0,,,0 days 00:00:27.291000,0 days 00:00:28.873000,0 days 00:00:28.289000,0 days 01:11:09.984000,0 days 01:11:38.857000,0 days 01:12:07.146000,316.0,335.0,313.0,334.0,True,HARD,10.0,True,Williams,0 days 01:10:42.667000,2025-09-07 13:16:27.580,1,13.0,False,,False,True,84.453,C3,2025,84.647,26.9,42.0,996.8,False,44.3,211.0,2.4,17.4,-0.19400000000000261,0.9521811296985054,0.4065696597405991,0.9753099120283326,0.9521811296985049,4.248354255291589e-18,0.3591554413294056
0 days 01:12:07.699000,OCO,31,0 days 00:01:24.466000,10.0,1.0,,,0 days 00:00:27.444000,0 days 00:00:28.819000,0 days 00:00:28.203000,0 days 01:11:10.715000,0 days 01:11:39.534000,0 days 01:12:07.737000,313.0,333.0,313.0,341.0,True,HARD,10.0,True,Haas F1 Team,0 days 01:10:43.233000,2025-09-07 13:16:28.146,1,14.0,False,,False,True,84.466,C3,2025,84.657,26.9,42.0,996.8,False,44.3,211.0,2.4,17.4,-0.1910000000000025,0.9521811296985054,0.4065696597405991,0.9753099120283326,0.9521811296985049,4.248354255291589e-18,0.3591554413294056
0 days 01:12:08.818000,STR,18,0 days 00:01:24.209000,10.0,1.0,,,0 days 00:00:27.347000,0 days 00:00:28.774000,0 days 00:00:28.088000,0 days 01:11:11.996000,0 days 01:11:40.770000,0 days 01:12:08.858000,315.0,323.0,311.0,339.0,True,HARD,11.0,False,Aston Martin,0 days 01:10:44.609000,2025-09-07 13:16:29.522,1,15.0,False,,False,True,84.209,C3,2025,84.541,26.9,42.0,996.8,False,44.3,211.0,2.4,17.4,-0.33199999999999363,0.9521811296985054,0.4065696597405991,0.9753099120283326,0.9521811296985049,4.248354255291589e-18,0.3591554413294056
0 days 01:12:11.018000,COL,43,0 days 00:01:24.728000,10.0,1.0,,,0 days 00:00:27.613000,0 days 00:00:29.239000,0 days 00:00:27.876000,0 days 01:11:13.979000,0 days 01:11:43.218000,0 days 01:12:11.094000,308.0,314.0,310.0,326.0,True,MEDIUM,10.0,True,Alpine,0 days 01:10:46.290000,2025-09-07 13:16:31.203,1,16.0,False,,False,True,84.728,C4,2025,84.816,26.9,42.0,996.8,False,44.3,211.0,2.4,17.4,-0.08800000000000807,0.9521811296985054,0.4065696597405991,0.9753099120283326,0.9521811296985049,4.248354255291589e-18,0.3591554413294056
0 days 01:12:11.583000,HAD,6,0 days 00:01:24.864000,10.0,1.0,,,0 days 00:00:27.505000,0 days 00:00:29.292000,0 days 00:00:28.067000,0 days 01:11:14.251000,0 days 01:11:43.543000,0 days 01:12:11.610000,318.0,332.0,315.0,342.0,False,HARD,11.0,False,Racing Bulls,0 days 01:10:46.719000,2025-09-07 13:16:31.632,1,17.0,False,,False,True,84.864,C3,2025,84.167,26.9,42.0,996.8,False,44.3,211.0,2.4,17.4,0.6970000000000027,0.9521811296985054,0.4065696597405991,0.9753099120283326,0.9521811296985049,4.248354255291589e-18,0.3591554413294056
0 days 01:12:13.513000,GAS,10,0 days 00:01:24.560000,10.0,1.0,,,0 days 00:00:27.684000,0 days 00:00:28.875000,0 days 00:00:28.001000,0 days 01:11:16.724000,0 days 01:11:45.599000,0 days 01:12:13.600000,311.0,315.0,311.0,321.0,True,HARD,10.0,True,Alpine,0 days 01:10:48.953000,2025-09-07 13:16:33.866,1,18.0,False,,False,True,84.56,C3,2025,84.868,26.9,42.0,996.8,False,44.3,211.0,2.4,17.4,-0.3079999999999927,0.9521811296985054,0.4065696597405991,0.9753099120283326,0.9521811296985049,4.248354255291589e-18,0.3591554413294056
0 days 01:12:25.605000,HUL,27,0 days 00:01:25.322000,11.0,2.0,,,0 days 00:00:27.695000,0 days 00:00:29.264000,0 days 00:00:28.363000,0 days 01:11:28.027000,0 days 01:11:57.291000,0 days 01:12:25.654000,310.0,315.0,310.0,318.0,False,HARD,6.0,True,Haas F1 Team,0 days 01:11:00.283000,2024-09-01 13:18:44.202,1,19.0,False,,False,True,85.322,C3,2024,85.194,33.2,31.0,993.2,False,47.7,232.0,1.6,14.5,0.1280000000000001,0.18618769521930376,0.001661557273173934,0.3825101844718019,0.999000499833375,9.88775261368041e-74,0.9910403787728839
