Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\Bahrain Grand Prix\bahrain_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media      IC_95%_RMSE  MAE_Media       IC_95%_MAE  R2_Media          IC_95%_R2
  35%    22         24-38        39-42         807        237  0.2758  0.2177    0.9538
  20%    15         17-24        25-27         531        200  0.2759  0.2097    0.9503
  60%    10         12-37        38-44        1422        418  0.2765  0.2164    0.9524
  20%    32         34-41        42-44         405        177  0.2765  0.2059    0.9523
  20%    34         36-43        44-46         449        155  0.2766  0.2088    0.9442
  25%    30         32-42        43-45         536        169  0.2773  0.2078    0.9497
  40%     5          7-23        24-28         998        334  0.2775  0.2118    0.9479
  20%    39         41-48        49-51         423        155  0.2775  0.2046    0.9353
  12%    17         19-23        24-25         351        147  0.2779  0.2081    0.9433
  40%    20         22-38        39-43         955        299  0.2781  0.2158    0.9542
  30%    26         28-39        40-43         599        231  0.2788  0.2105    0.9542
  30%     7          9-20        21-24         638        294  0.2790  0.2127    0.9387
  20%    13         15-22        23-25         466        222  0.2790  0.2124    0.9435
  40%    27         29-45        46-50         879        246  0.2796  0.2140    0.9374
  25%     7          9-19        20-22         568        213  0.2800  0.2159    0.9292
  20%    12         14-21        22-24         432        224  0.2801  0.2169    0.9402
  35%    15         17-31        32-35         963        149  0.2805  0.2162    0.9575
  30%    27         29-40        41-44         600        230  0.2816  0.2139    0.9519
  60%    21         23-48        49-55        1432        414  0.2823  0.2177    0.9383
  20%    14         16-23        24-26         501        211  0.2823  0.2128    0.9440
  40%    29         31-47        48-52         857        268  0.2824  0.2167    0.9344
  20%    20         22-29        30-32         542        151  0.2834  0.2251    0.9606
  30%    29         31-42        43-46         592        217  0.2835  0.2160    0.9472
  25%    15         17-27        28-30         731        176  0.2837  0.2227    0.9555
  30%     4          6-17        18-21         661        258  0.2839  0.2229    0.9182
  25%     6          8-18        19-21         576        203  0.2839  0.2285    0.9202
  35%     7          9-23        24-27         856        276  0.2843  0.2168    0.9452
  30%     9         11-22        23-26         655        286  0.2843  0.2138    0.9431
  15%    35         37-42        43-44         345        120  0.2852  0.2102    0.9498
  12%    37         39-43        44-45         299        107  0.2854  0.2247    0.9380
  60%     9         11-36        37-43        1429        407  0.2856  0.2226    0.9495
  40%    19         21-37        38-42         964        298  0.2857  0.2244    0.9484
  30%    18         20-31        32-35         796        149  0.2859  0.2220    0.9559
  30%    25         27-38        39-42         596        237  0.2859  0.2241    0.9504
  40%     8         10-26        27-31        1000        297  0.2859  0.2223    0.9550
  25%    17         19-29        30-32         745        151  0.2861  0.2285    0.9599
  35%     6          8-22        23-26         852        286  0.2866  0.2164    0.9421
  40%    13         15-31        32-36        1049        191  0.2870  0.2169    0.9551
  15%    34         36-41        42-43         330        119  0.2872  0.2133    0.9516
  30%     6          8-19        20-23         639        288  0.2872  0.2250    0.9306
  30%     8         10-21        22-25         641        295  0.2883  0.2178    0.9381
  10%    41         43-46        47-48         217         96  0.2883  0.2305    0.9304
  12%     1           3-7          8-9         353        138  0.2885  0.2333    0.9463
  25%    27         29-39        40-42         541        169  0.2886  0.2240    0.9494
  20%    22         24-31        32-34         508        110  0.2886  0.2309    0.9575
  10%    18         20-23        24-25         288        147  0.2888  0.2210    0.9388
  12%    15         17-21        22-23         307        148  0.2891  0.2267    0.9361
  12%    25         27-31        32-33         297         74  0.2892  0.2305    0.9584
   5%    28         30-31        32-32         114         37  0.2892  0.2276    0.9614
  40%     9         11-27        28-32        1006        269  0.2892  0.2258    0.9562
