Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\Italian Grand Prix\italian_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media      IC_95%_RMSE  MAE_Media       IC_95%_MAE  R2_Media        IC_95%_R2
   5%     3     49      0.5782 [0.4326, 0.7238]     0.4307  [0.335, 0.5264]    0.7214 [0.5211, 0.9217]
  12%    11         13-16        17-18         245        124 0.2862 0.2236  0.9671
  20%     6          8-15        16-17         513        122 0.2862 0.2191  0.9667
  35%    25         27-40        41-44         855        232 0.2864 0.2182  0.9743
  15%    23         25-30        31-32         399        123 0.2864 0.2256  0.9723
  20%     4          6-13        14-15         526        126 0.2865 0.2346  0.9672
  60%     1          3-26        27-33        1514        447 0.2868 0.2289  0.9704
  25%    35         37-46        47-49         580        130 0.2870 0.2259  0.9784
  35%    17         19-32        33-36         879        239 0.2871 0.2200  0.9730
  25%    22         24-33        34-36         642        183 0.2875 0.2176  0.9733
  10%     3           5-8          9-9         280         72 0.2879 0.2174  0.9589
  25%    28         30-39        40-42         600        169 0.2880 0.2198  0.9714
  15%    38         40-45        46-47         349        104 0.2880 0.2294  0.9777
  30%    20         22-33        34-36         771        183 0.2882 0.2183  0.9732
  25%    38         40-49        50-52         539        116 0.2882 0.2236  0.9757
  25%    25         27-36        37-39         630        171 0.2883 0.2362  0.9701
  12%    40         42-45        46-47         242        104 0.2884 0.2273  0.9776
  15%    12         14-19        20-21         368        106 0.2885 0.2173  0.9689
  15%     1           3-8         9-10         403        142 0.2889 0.2274  0.9589
  20%    33         35-42        43-44         463        117 0.2893 0.2253  0.9742
  40%    29         31-46        47-50         942        175 0.2893 0.2201  0.9787
  12%     3           5-8         9-10         280        142 0.2901 0.2280  0.9586
  25%    29         31-40        41-43         587        173 0.2902 0.2215  0.9731
  20%    10         12-19        20-21         474        106 0.2903 0.2271  0.9685
  12%    17         19-22        23-24         228        129 0.2903 0.2384  0.9671
  10%     5          7-10        11-11         288         65 0.2906 0.2212  0.9630
  35%     2          4-17        18-21         909        226 0.2915 0.2264  0.9667
  35%    31         33-46        47-50         819        175 0.2920 0.2266  0.9783
   5%    22         24-25        26-26         129         66 0.2921 0.2394  0.9646
