Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\Saudi Arabian Grand Prix\saudi_arabian_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media         IC_95%_RMSE  MAE_Media           IC_95%_MAE      R2_Media                    IC_95%_R2
  25%     1          3-11        12-14         468        198    0.3497    0.2798  8.674000e-01
  25%    16         18-26        27-29         397        202    0.3499    0.2756  8.992000e-01
  20%     3          5-12        13-14         451        129    0.3508    0.2792  8.541000e-01
  35%     4          6-18        19-22         705        121    0.3510    0.2862  8.949000e-01
  25%     5          7-15        16-18         518        118    0.3513    0.2627  8.519000e-01
  10%    24         26-29        30-30         268         65    0.3513    0.2703  8.817000e-01
  15%     5          7-11        12-13         257        133    0.3514    0.2667  8.670000e-01
  30%     7          9-19        20-22         563         91    0.3514    0.2866  9.093000e-01
  10%    34         36-39        40-40         222         49    0.3520    0.2701  8.202000e-01
  20%    18         20-27        28-29         405        135    0.3521    0.2801  8.927000e-01
  30%    34         36-46        47-49         634        174    0.3530    0.2654  8.590000e-01
  12%    32         34-37        38-39         245        101    0.3542    0.2597  8.426000e-01
  15%    35         37-41        42-43         260        125    0.3545    0.2519  8.544000e-01
  25%     9         11-19        20-22         461         91    0.3549    0.2948  9.075000e-01
  25%    21         23-31        32-34         579        199    0.3556    0.2768  8.845000e-01
  30%    13         15-25        26-28         483        200    0.3561    0.2825  9.055000e-01
  12%    31         33-36        37-38         254        110    0.3562    0.2689  8.384000e-01
  20%    11         13-20        21-22         370         61    0.3563    0.2920  9.219000e-01
  10%    31         33-36        37-37         254         59    0.3564    0.2817  8.417000e-01
  15%    29         31-35        36-37         326        121    0.3578    0.2819  8.383000e-01
  25%    36         38-46        47-49         513        174    0.3581    0.2698  8.548000e-01
  15%    37         39-43        44-45         275        127    0.3582    0.2604  8.563000e-01
   5%    18         20-20        21-21          30         26    0.3586    0.2808  8.841000e-01
  20%    37         39-46        47-48         462        118    0.3591    0.2659  8.585000e-01
  10%    39         41-44        45-45         238         65    0.3595    0.2575  8.733000e-01
  15%    12         14-18        19-20         246         60    0.3599    0.2934  8.176000e-01
  10%    37         39-42        43-43         212         63    0.3613    0.2709  8.398000e-01
  25%     4          6-14        15-17         524        152    0.3622    0.2795  8.422000e-01
  15%    36         38-42        43-44         263        125    0.3622    0.2580  8.336000e-01
  60%    20         22-44        45-50        1384        343    0.3624    0.2807  8.501000e-01
  20%    38         40-47        48-49         474        112    0.3629    0.2753  8.394000e-01
  15%     7          9-13        14-15         287        128    0.3635    0.2885  8.432000e-01
  12%    34         36-39        40-41         222        100    0.3635    0.2790  8.342000e-01
  15%     6          8-12        13-14         274        129    0.3641    0.2871  8.428000e-01
  25%     2          4-12        13-15         502        192    0.3643    0.2889  8.384000e-01
  12%    30         32-35        36-37         261        121    0.3646    0.2914  8.321000e-01
  20%    27         29-36        37-38         521        110    0.3652    0.2669  8.302000e-01
  15%    20         22-26        27-28         282        134    0.3660    0.2871  8.948000e-01
  25%     6          8-16        17-19         516         98    0.3661    0.2770  8.247000e-01
  40%     2          4-18        19-22         812        121    0.3665    0.2846  8.854000e-01
  10%     2           4-7          8-8         228         51    0.3671    0.2858  9.082000e-01
  10%    32         34-37        38-38         245         51    0.3674    0.2609  8.227000e-01
  40%    30         32-46        47-50         895        218    0.3690    0.2853  8.499000e-01
  30%     2          4-14        15-17         631        152    0.3698    0.2828  8.355000e-01
  25%    15         17-25        26-28         370        200    0.3703    0.2927  8.978000e-01
  12%    26         28-31        32-33         265        137    0.3729    0.2894  8.779000e-01
  20%     6          8-15        16-17         466         89    0.3731    0.2789  8.343000e-01
  12%    29         31-34        35-36         264        124    0.3733    0.2875  8.260000e-01
  10%    36         38-41        42-42         201         62    0.3747    0.2805  8.460000e-01
  35%    32         34-46        47-50         758        218    0.3748    0.2862  8.451000e-01
  10%    41         43-46        47-47         250         62    0.3751    0.2897  8.590000e-01
  15%    25         27-31        32-33         332        137    0.3753    0.2952  8.763000e-01
  20%    16         18-25        26-27         331        133    0.3759    0.2936  8.988000e-01
