Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\Saudi Arabian Grand Prix\saudi_arabian_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media         IC_95%_RMSE  MAE_Media           IC_95%_MAE      R2_Media                    IC_95%_R2
   5%    40             45-45              2568                  1947                      621              17 0.3672 0.2730 0.8842
  10%    37             45-45              2568                  1947                      621              17 0.3672 0.2730 0.8842
  60%     1             27-32              2281                  1947                      334              96 0.3680 0.2994 0.8745
  40%    12             30-33              2330                  1947                      383              63 0.3689 0.3068 0.8596
  35%    14             30-33              2330                  1947                      383              63 0.3689 0.3068 0.8596
  10%    19             27-27              2281                  1947                      334              17 0.3696 0.2925 0.8921
   5%    22             27-27              2281                  1947                      334              17 0.3696 0.2925 0.8921
  20%    20             31-32              2346                  1947                      399              31 0.3696 0.3054 0.8653
  15%    22             31-32              2346                  1947                      399              31 0.3696 0.3054 0.8653
   5%    16             21-21              2203                  1947                      256               9 0.3696 0.3008 0.8422
  10%    13             21-21              2203                  1947                      256               9 0.3696 0.3008 0.8422
  12%    23             31-32              2346                  1947                      399              31 0.3696 0.3054 0.8653
  60%     2             28-33              2298                  1947                      351              95 0.3698 0.3074 0.8677
  60%     3             29-34              2313                  1947                      366              94 0.3706 0.3111 0.8617
   5%     4               9-9              2004                  1947                       57              17 0.3709 0.3057 0.7121
  10%     1               9-9              2004                  1947                       57              17 0.3709 0.3057 0.7121
  30%    15             30-32              2330                  1947                      383              47 0.3732 0.3085 0.8550
  25%    17             30-32              2330                  1947                      383              47 0.3732 0.3085 0.8550
  20%    15             26-27              2265                  1947                      318              33 0.3739 0.3011 0.8940
  12%    18             26-27              2265                  1947                      318              33 0.3739 0.3011 0.8940
  15%    17             26-27              2265                  1947                      318              33 0.3739 0.3011 0.8940
  20%     3             14-15              2091                  1947                      144              34 0.3741 0.2854 0.7836
  12%     6             14-15              2091                  1947                      144              34 0.3741 0.2854 0.7836
  15%     5             14-15              2091                  1947                      144              34 0.3741 0.2854 0.7836
  10%    18             26-26              2265                  1947                      318              16 0.3794 0.3107 0.8955
   5%    21             26-26              2265                  1947                      318              16 0.3794 0.3107 0.8955
  40%    11             29-32              2313                  1947                      366              64 0.3820 0.3185 0.8539
  35%    13             29-32              2313                  1947                      366              64 0.3820 0.3185 0.8539
   5%    38             43-43              2534                  1947                      587              17 0.3889 0.3141 0.7537
  10%    35             43-43              2534                  1947                      587              17 0.3889 0.3141 0.7537
   5%    10             15-15              2109                  1947                      162              16 0.3941 0.2923 0.8005
  10%     7             15-15              2109                  1947                      162              16 0.3941 0.2923 0.8005
   5%    27             32-32              2360                  1947                      413              17 0.3994 0.3242 0.8442
  10%    24             32-32              2360                  1947                      413              17 0.3994 0.3242 0.8442
   5%     3               8-8              1986                  1947                       39              18 0.4062 0.3384 0.7160
   5%     1               6-6              1950                  1947                        3              18 0.4206 0.3527 0.7326
  12%     2             10-11              2021                  1947                       74              36 0.4294 0.3241 0.6685
  15%     1             10-11              2021                  1947                       74              36 0.4294 0.3241 0.6685
   5%     2               7-7              1968                  1947                       21              18 0.4537 0.3476 0.6229
  12%     1              9-10              2004                  1947                       57              35 0.4622 0.3641 0.5962
   5%     5             10-10              2021                  1947                       74              18 0.4771 0.3712 0.5863
  10%     2             10-10              2021                  1947                       74              18 0.4771 0.3712 0.5863
Arquivos .txt salvos em: c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\Results\lr_wf_fold_results\saudi_arabian_grand_prix\wf_2025
