Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\United States Grand Prix\united_states_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media              IC_95%_RMSE  MAE_Media               IC_95%_MAE      R2_Media                         IC_95%_R2
  20%    31         33-40        41-43         453        187      0.3503      0.2673  9.486000e-01
  40%    12         14-30        31-35         911        282      0.3503      0.2859  9.511000e-01
  40%    30         32-48        49-53        1022        314      0.3505      0.2637  9.472000e-01
  35%     3          5-19        20-23         848        183      0.3506      0.2721  8.960000e-01
  12%    31         33-36        37-38         217        119      0.3506      0.2812  9.526000e-01
  15%    39         41-46        47-48         380        129      0.3510      0.2821  9.482000e-01
  12%     9         11-14        15-16         249        131      0.3510      0.2887  9.306000e-01
  35%    32         34-48        49-52         906        254      0.3513      0.2707  9.456000e-01
  60%    20         22-46        47-53        1429        443      0.3518      0.2691  9.472000e-01
  25%    32         34-44        45-47         650        190      0.3518      0.2748  9.505000e-01
  35%    17         19-33        34-37         786        220      0.3521      0.2867  9.533000e-01
  25%    28         30-40        41-43         630        187      0.3524      0.2723  9.479000e-01
  20%     4          6-13        14-16         458        196      0.3524      0.2757  9.336000e-01
  30%     3          5-16        17-20         698        195      0.3525      0.2732  9.313000e-01
  40%    15         17-33        34-38         891        280      0.3535      0.2873  9.522000e-01
  35%    16         18-32        33-36         774        217      0.3536      0.2882  9.523000e-01
  10%    44         46-49        50-50         258         66      0.3536      0.2692  9.473000e-01
  15%    28         30-35        36-37         339        114      0.3539      0.2630  9.544000e-01
  25%     6          8-18        19-21         654        134      0.3539      0.2732  9.006000e-01
  15%    34         36-41        42-43         349        129      0.3541      0.2759  9.469000e-01
  30%    19         21-32        33-36         640        217      0.3543      0.2882  9.521000e-01
  30%     4          6-17        18-21         715        178      0.3545      0.2711  9.084000e-01
  25%    18         20-30        31-33         565        176      0.3557      0.2878  9.469000e-01
  20%     6          8-15        16-18         481        173      0.3558      0.2871  9.390000e-01
  35%     2          4-18        19-22         850        180      0.3565      0.2644  8.967000e-01
  30%    13         15-26        27-30         617        229      0.3569      0.2809  9.450000e-01
  20%    10         12-19        20-22         473        135      0.3569      0.2819  8.901000e-01
  30%    26         28-39        40-43         686        245      0.3572      0.2775  9.465000e-01
   5%    34         36-37        38-38         114         60      0.3573      0.2870  9.476000e-01
  25%     7          9-19        20-22         648        135      0.3578      0.2845  8.895000e-01
  30%    35         37-48        49-52         745        254      0.3578      0.2720  9.436000e-01
  20%    21         23-30        31-33         430        176      0.3580      0.2906  9.462000e-01
  20%    29         31-38        39-41         456        175      0.3587      0.2796  9.468000e-01
  30%    20         22-33        34-37         652        220      0.3593      0.2951  9.513000e-01
  12%    41         43-46        47-48         260        129      0.3598      0.2818  9.456000e-01
   5%    35         37-38        39-39         119         59      0.3602      0.2860  9.466000e-01
  40%    13         15-31        32-36         906        277      0.3603      0.2922  9.498000e-01
  35%    14         16-30        31-34         783        229      0.3608      0.2897  9.464000e-01
  35%     6          8-22        23-26         834        201      0.3608      0.2726  9.090000e-01
  20%     9         11-18        19-21         485        134      0.3612      0.2778  8.965000e-01
  30%     5          7-18        19-22         699        180      0.3621      0.2882  8.934000e-01
  40%     7          9-25        26-30         932        281      0.3623      0.2843  9.410000e-01
  15%    29         31-36        37-38         337        119      0.3630      0.2813  9.492000e-01
  30%    17         19-30        31-34         610        229      0.3631      0.2938  9.457000e-01
  30%     6          8-19        20-23         699        183      0.3639      0.2914  8.880000e-01
  20%     7          9-16        17-19         498        150      0.3643      0.2929  9.332000e-01
  15%    20         22-27        28-29         305        114      0.3651      0.2841  9.422000e-01
  10%    38         40-43        44-44         245         66      0.3651      0.2834  9.490000e-01
  10%    29         31-34        35-35         229         53      0.3653      0.2952  9.488000e-01
  25%     8         10-20        21-23         637        138      0.3654      0.2897  8.912000e-01
  40%     6          8-24        25-29         933        274      0.3656      0.2829  9.355000e-01
  20%    23         25-32        33-35         451        162      0.3670      0.2977  9.472000e-01
  10%    24         26-29        30-30         224         57      0.3671      0.2783  9.392000e-01
  15%    14         16-21        22-23         307         94      0.3671      0.2989  8.871000e-01
  35%    10         12-26        27-30         809        229      0.3674      0.2896  9.417000e-01
  25%    13         15-25        26-28         565        166      0.3683      0.2908  9.391000e-01
  20%    14         16-23        24-26         401        153      0.3692      0.2758  9.084000e-01
  15%    23         25-30        31-32         331        120      0.3696      0.2987  9.419000e-01
  10%    39         41-44        45-45         253         63      0.3697      0.3126  9.462000e-01
  25%    20         22-32        33-35         596        162      0.3697      0.3015  9.464000e-01
  60%    21         23-47        48-54        1446        439      0.3701      0.2810  9.439000e-01
  15%    33         35-40        41-42         344        120      0.3703      0.2882  9.437000e-01
  15%    44         46-51        52-53         387        120      0.3706      0.2995  9.444000e-01
  12%    39         41-44        45-46         253        127      0.3706      0.2992  9.449000e-01
  15%    12         14-19        20-21         346         89      0.3707      0.3013  8.821000e-01
  35%    33         35-49        50-53         918        249      0.3707      0.2822  9.409000e-01
  10%     9         11-14        15-15         249         63      0.3710      0.3137  9.201000e-01
  10%    37         39-42        43-43         237         67      0.3715      0.2944  9.385000e-01
  12%    38         40-43        44-45         245        129      0.3719      0.3012  9.464000e-01
  25%    21         23-33        34-36         606        161      0.3719      0.3049  9.472000e-01
  10%     7          9-12        13-13         237         65      0.3722      0.2732  9.487000e-01
  10%    13         15-18        19-19         236         45      0.3725      0.2727  9.031000e-01
  35%     8         10-24        25-28         826        216      0.3729      0.2907  9.321000e-01
  20%    15         17-24        25-27         384        160      0.3734      0.2902  9.269000e-01
  15%    24         26-31        32-33         341        116      0.3741      0.3003  9.406000e-01
  12%    12         14-17        18-19         257         89      0.3744      0.3144  9.106000e-01
  35%     7          9-23        24-27         831        211      0.3748      0.2884  9.203000e-01
  25%     4          6-16        17-19         654        150      0.3752      0.2956  9.292000e-01
